path,role,size_bytes,sha256,line_count,instruction_count,org_count,db_directive_count,db_source_bytes,uses_tabl,uses_tabh,call_count,jmp_count,sram_addresses,highest_written_word,span_words,hole_words,overlap_count,out_of_range_count,bin_artifacts,map_artifacts
ssd1306_oled_nihao_table.asm,example_or_application,6091,cd58fc0c623f0039515130a4123067807cfe8725ac5e6d9769b3612b9a2b03df,310,206,7,4,64,True,True,60,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0x8E 0xA1 0xA4 0xA6 0xA8 0xAC 0xAE 0xAF,0x01C0,449,211,0,0,.embeddedskills/build/ssd1306_oled_nihao_table.bin,.embeddedskills/build/ssd1306_oled_nihao_table.map
ssd1306_oled_ram_marker_no_table.asm,example_or_application,4833,e7f2986865a4bd4064b68a944f0224915a937214ca53ca36b1007006121f172f,266,195,5,0,0,False,False,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x0205,518,323,0,0,build/ssd1306_oled_ram_marker_no_table.bin,build/ssd1306_oled_ram_marker_no_table.map
ssd1306_oled_tabl_tabh_reverse_probe.asm,probe,9446,0a251604e1dde5838c67590adf0ac503e845e78c4218a853a775dd53c9e49d02,390,274,6,24,384,True,True,93,14,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x02F8,761,295,0,0,build/ssd1306_oled_tabl_tabh_reverse_probe.bin,build/ssd1306_oled_tabl_tabh_reverse_probe.map
ssd1306_oled_tabl_vs_tabh_heello.asm,example_or_application,8568,fa67c0fe496b1762c2e110001b7942d3dcbafb82bd24a3dd4df37ab56c3f77e6,347,236,6,24,384,True,True,73,14,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x02D2,723,295,0,0,build/ssd1306_oled_tabl_vs_tabh_heello.bin,build/ssd1306_oled_tabl_vs_tabh_heello.map
tabh_changed_table_check.asm,probe,1655,8f7042c45677fb5fe29d390eb8cfe774173d327afa09c3ddb0735b13f9656087,91,49,3,0,0,False,True,2,9,0x80 0x81 0x82 0x83,0x004E,79,30,0,0,build/tabh_changed_table_check.bin,build/tabh_changed_table_check.map
tabh_hello_sequence_check.asm,probe,2155,45ce603a0b6f94df68771790c8d8db7d1e79cafe8b9196dc6a4baeeab7ba4a25,134,94,3,0,0,False,True,2,13,0x80 0x81 0x83,0x013E,319,225,0,0,build/tabh_hello_sequence_check.bin,build/tabh_hello_sequence_check.map
tabl_changed_table_check.asm,probe,1630,ff30aa802486a123745aa273aadf7cee1ce52cab7e32ea366af2ecfa57d3d82b,89,49,3,0,0,True,False,2,9,0x80 0x81 0x82 0x83,0x004E,79,30,0,0,build/tabl_changed_table_check.bin,build/tabl_changed_table_check.map
tabl_exact_visible23_check.asm,probe,1799,b38281c59ab7d8e8fd0fa7c328e68fa65b8f665a8715ab6794cd7e95bd0a5d79,98,55,3,0,0,True,False,2,11,0x80 0x81 0x82 0x83 0xA3,0x0054,85,30,0,0,build/tabl_exact_visible23_check.bin,build/tabl_exact_visible23_check.map
tabl_exact_visible27_check.asm,probe,1938,de429d1f8f3fe4b55d51eb025e080bff9ed1b8ea896043fd5cf09d5bb24d5ef5,101,55,3,0,0,True,False,2,11,0x80 0x81 0x82 0x83 0xA7,0x0054,85,30,0,0,build/tabl_exact_visible27_check.bin,build/tabl_exact_visible27_check.map
tabl_led_probe_pa2_bad.asm,probe,3435,202a78cc8ee70f3d349a62adf9a654e7fc65bcf6cab5b9924fabc3bb562ff53f,186,119,3,0,0,True,False,30,6,0x80 0x81,0x0091,146,27,0,0,build/tabl_led_probe_pa2_bad.bin,build/tabl_led_probe_pa2_bad.map
tabl_led_simple_result.asm,example_or_application,1752,b908d6d85041a892d650f9f419a37833a52a2e3810c089f8b1f7f36bce40d849,95,51,3,0,0,True,False,2,9,0x80 0x81 0x83,0x004F,80,29,0,0,build/tabl_led_simple_result.bin,build/tabl_led_simple_result.map
tabl_show_raw_pa_leds.asm,example_or_application,1422,a66f3fa035fb1ff5381ae36e499d784c53d3b2ac34b3dd09e1a853609f6c2735,74,38,3,0,0,True,False,6,4,0x80 0x81,0x0043,68,30,0,0,build/tabl_show_raw_pa_leds.bin,build/tabl_show_raw_pa_leds.map
tabl_value_simple_result.asm,example_or_application,1732,55fec6fc14bec304110c411afb0ba35b4ebbaebde6a0bda708db928dd5da5cec,85,45,3,0,0,True,False,2,9,0x80 0x81 0x83,0x004A,75,30,0,0,build/tabl_value_simple_result.bin,build/tabl_value_simple_result.map
